Governorate,Delegation,Locality,Nature,Type of Real Estate,Surface,Price,Inserted On
Nabeul,Hammamet,Hammamet,Land,Vacant land,2000.0,120000.0,14/11/2023
Ben arous,Ben Arous,Ben Arous,Sale,Surfaces,2461.0,4300000.0,17/03/2023
Sousse,Akouda,Akouda,Land,Agricultural land,2434.0,150000.0,01/10/2022
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,140.0,3000.0,01/02/2023
Ariana,Mnihla,Mnihla,Rental,Other,15.0,450.0,09/11/2023
Ben arous,El Mourouj,El Mourouj,Rental,2-room apartment,100.0,650.0,26/09/2023
Ariana,Raoued,Raoued,Sale,Houses,300.0,400000.0,17/05/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,90.0,1850.0,05/08/2023
Beja,Testour,Testour,Land,Agricultural land,45000.0,600000.0,02/07/2023
Ariana,Ariana Ville,Ariana Ville,Rental,Houses,170.0,1200.0,09/11/2023
Tunis,El Omrane,El Omrane,Sale,Other,90.0,168000.0,13/10/2023
Tunis,El Menzah,El Menzah,Sale,Houses,541.0,1500000.0,02/06/2023
Tunis,El Menzah,El Menzah,Rental,Duplex,300.0,2500.0,19/10/2023
Ben arous,Hammam Chatt,Hammam Chatt,Sale,Houses,763.0,460000.0,23/10/2022
Ariana,La Soukra,La Soukra,Sale,Duplex,150.0,315000.0,09/08/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,Duplex,1.0,3500.0,23/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,1000.0,1300000.0,28/09/2023
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Sale,2-room apartment,110.0,260000.0,16/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,1200000.0,22/09/2023
Tunis,El Menzah,El Menzah,Rental,2-room apartment,60.0,650.0,31/10/2023
Nabeul,Kelibia,Kelibia,Sale,Surfaces,297.0,210000.0,20/10/2023
Sousse,Sousse Ville,Sousse Ville,Rental,Surfaces,80.0,800.0,30/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,302.0,920000.0,20/10/2023
Ben arous,Hammam Lif,Hammam Lif,Sale,3-room apartment,120.0,200000.0,16/03/2023
Tunis,La Marsa,La Marsa,Rental,1-room apartment,60.0,1000.0,12/10/2023
Ben arous,Hammam Chatt,Hammam Chatt,Offices & Shops,Surfaces,24.0,900.0,03/08/2023
Manouba,Mannouba,Mannouba,Land,Vacant land,474.0,94800.0,19/08/2023
Nabeul,Takelsa,Takelsa,Sale,Houses,300.0,360000.0,13/10/2023
Tunis,La Marsa,La Marsa,Rental,Houses,200.0,2500.0,02/11/2023
Zaghouan,El Fahs,El Fahs,Land,Agricultural land,50000.0,280000.0,17/02/2023
Tunis,La Marsa,La Marsa,Sale,2-room apartment,121.0,300000.0,08/06/2023
Ariana,Raoued,Raoued,Land,Vacant land,750.0,262500.0,20/11/2023
Manouba,Oued Ellil,Oued Ellil,Rental,Duplex,273.0,650.0,13/11/2023
Tunis,El Menzah,El Menzah,Sale,Houses,507.0,1300000.0,26/07/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,516.0,440000.0,21/07/2023
Tunis,Bab Bhar,Bab Bhar,Sale,Houses,390.0,1200000.0,24/11/2023
Ben arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Land,Vacant land,500.0,550000.0,27/11/2023
Nabeul,Hammamet,Hammamet,Sale,4-room apartment,50.0,380000.0,09/09/2023
Ariana,Ariana Ville,Ariana Ville,Rental,2-room apartment,60.0,850.0,27/10/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,307.0,460000.0,17/08/2023
Ariana,La Soukra,La Soukra,Offices & Shops,Office,400.0,6000.0,05/01/2022
Nabeul,Hammamet,Hammamet,Land,Vacant land,6040.0,6040000.0,02/12/2023
Nabeul,Hammamet,Hammamet,Rental,Surfaces,60.0,1200.0,24/04/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,352.0,492800.0,24/07/2023
Ariana,Ariana Ville,Ariana Ville,Rental,4-room apartment,162.0,1780.0,29/08/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,60.0,900.0,06/11/2023
Tunis,Ettahrir,Ettahrir,Sale,2-room apartment,75.0,84000.0,23/09/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,417.0,530000.0,16/11/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,100.0,950.0,08/11/2023
Nabeul,Kelibia,Kelibia,Sale,1-room apartment,75.0,130000.0,09/03/2023
Tunis,Cite El Khadra,Cite El Khadra,Offices & Shops,Office,108.0,2200.0,13/10/2021
Ben arous,Megrine,Megrine,Sale,Houses,500.0,1500000.0,08/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,450.0,1520000.0,06/10/2023
Ben arous,Ben Arous,Ben Arous,Sale,1-room apartment,30.0,50000.0,29/11/2023
Ariana,Ariana Ville,Ariana Ville,Offices & Shops,Office,120.0,950.0,28/11/2023
Sousse,Hammam Sousse,Hammam Sousse,Land,Vacant land,650.0,1300000.0,08/11/2022
Ariana,La Soukra,La Soukra,Rental,3-room apartment,80.0,900.0,03/12/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Duplex,145.0,480000.0,09/05/2023
Ben arous,Rades,Rades,Sale,Houses,320.0,485000.0,03/07/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,320.0,1250000.0,06/10/2023
Ariana,Ariana Ville,Ariana Ville,Vacation rental,2-room apartment,80.0,2000.0,14/07/2021
Medenine,Djerba - Houmet Essouk,Djerba - Houmet Essouk,Sale,Houses,280.0,300000.0,02/07/2021
Nabeul,Kelibia,Kelibia,Sale,Surfaces,76.0,100000.0,29/11/2023
Nabeul,Hammamet,Hammamet,Sale,4-room apartment,172.0,450000.0,22/09/2023
Zaghouan,Bir Mcherga,Bir Mcherga,Land,Agricultural land,15000.0,135000.0,11/10/2023
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,80.0,1200.0,20/11/2023
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Sale,1-room apartment,120.0,220000.0,16/03/2023
Tunis,Le Bardo,Le Bardo,Sale,Other,640.0,2000000.0,31/10/2023
Nabeul,Hammamet,Hammamet,Land,Agricultural land,50000.0,1150000.0,03/11/2023
Ariana,Mnihla,Mnihla,Sale,3-room apartment,130.0,390000.0,07/11/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,400.0,900000.0,17/09/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,200.0,2200.0,17/11/2023
Tunis,Le Bardo,Le Bardo,Vacation rental,5-room apartment and more,110.0,550.0,28/04/2023
Ariana,La Soukra,La Soukra,Rental,2-room apartment,60.0,400.0,14/10/2023
Ariana,La Soukra,La Soukra,Rental,Houses,300.0,4000.0,07/10/2023
Ben arous,Nouvelle Medina,Nouvelle Medina,Rental,3-room apartment,127.0,900.0,26/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,2-room apartment,128.0,800.0,23/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,4-room apartment,148.0,360000.0,17/10/2023
Nabeul,Hammamet,Hammamet,Offices & Shops,Other,800.0,4000.0,07/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,3-room apartment,250.0,1200.0,05/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,Duplex,130.0,520000.0,09/11/2023
Tunis,Bab Bhar,Bab Bhar,Rental,5-room apartment and more,130.0,1600.0,13/06/2023
Ariana,La Soukra,La Soukra,Sale,4-room apartment,150.0,350000.0,24/10/2023
Sousse,Sidi Bou Ali,Sidi Bou Ali,Land,Agricultural land,18666.0,210000.0,20/07/2022
Tunis,La Marsa,La Marsa,Rental,2-room apartment,105.0,1300.0,23/08/2023
Tunis,La Marsa,La Marsa,Land,Vacant land,2000.0,12000000.0,25/01/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,409.0,300000.0,01/08/2022
Ariana,La Soukra,La Soukra,Offices & Shops,Office,84.0,1500.0,08/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,840.0,2000000.0,30/10/2023
Nabeul,Hammamet,Hammamet,Rental,3-room apartment,80.0,550.0,08/10/2023
Manouba,Mannouba,Mannouba,Land,Vacant land,190.0,160000.0,26/11/2023
Tunis,El Kabbaria,El Kabbaria,Sale,Other,437.0,650000.0,10/10/2023
Tunis,Cite El Khadra,Cite El Khadra,Rental,2-room apartment,105.0,1300.0,05/12/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,100.0,350000.0,08/11/2023
Ariana,La Soukra,La Soukra,Rental,2-room apartment,50.0,1400.0,13/09/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,305.0,210000.0,12/10/2023
Tunis,La Marsa,La Marsa,Rental,Houses,1.0,2300.0,15/11/2023
Ariana,La Soukra,La Soukra,Sale,4-room apartment,157.0,530000.0,11/11/2023
Nabeul,Hammamet,Hammamet,Sale,4-room apartment,270.0,750000.0,30/09/2023
Ariana,Mnihla,Mnihla,Rental,3-room apartment,300.0,1300.0,17/11/2023
Ariana,Ariana Ville,Ariana Ville,Sale,4-room apartment,260.0,650000.0,27/10/2023
Tunis,La Marsa,La Marsa,Vacation rental,2-room apartment,80.0,550.0,30/12/2013
Tunis,La Marsa,La Marsa,Sale,2-room apartment,105.0,160000.0,19/11/2023
Tunis,La Marsa,La Marsa,Sale,Houses,200.0,420000.0,08/10/2023
Nabeul,Kelibia,Kelibia,Land,Vacant land,1000.0,100000.0,21/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,1.0,1300.0,10/01/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,75.0,2500.0,02/11/2022
Nabeul,Hammamet,Hammamet,Sale,5-room apartment and more,70.0,230000.0,24/11/2023
Ben arous,Ben Arous,Ben Arous,Rental,3-room apartment,90.0,620.0,24/11/2023
Monastir,Teboulba,Teboulba,Land,Vacant land,175.0,65000.0,11/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,Duplex,1.0,4000.0,28/12/2022
Nabeul,Beni Khiar,Beni Khiar,Land,Vacant land,7500.0,900000.0,18/11/2023
Sousse,Akouda,Akouda,Land,Vacant land,312.0,300000.0,24/10/2023
Sousse,Kalaa El Kebira,Kalaa El Kebira,Land,Agricultural land,4000.0,720000.0,19/01/2023
Nabeul,Kelibia,Kelibia,Rental,Houses,95.0,440.0,12/09/2023
Tunis,La Marsa,La Marsa,Vacation rental,2-room apartment,65.0,300.0,10/01/2013
Ariana,Raoued,Raoued,Sale,Houses,1000.0,590000.0,06/11/2023
Ariana,Ariana Ville,Ariana Ville,Sale,5-room apartment and more,180.0,390000.0,17/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,240.0,550000.0,23/10/2023
Tunis,El Menzah,El Menzah,Rental,Houses,400.0,4400.0,06/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,80.0,2000.0,20/08/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,2225.0,2892500.0,29/11/2022
Ariana,Ariana Ville,Ariana Ville,Rental,1-room apartment,18.0,750.0,31/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,840.0,2000000.0,02/11/2023
Nabeul,Beni Khiar,Beni Khiar,Land,Vacant land,291.0,189150.0,20/09/2023
Tunis,La Marsa,La Marsa,Rental,5-room apartment and more,400.0,5800.0,28/03/2023
Ariana,Mnihla,Mnihla,Rental,4-room apartment,120.0,900.0,06/10/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Office,55.0,550.0,16/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,1200000.0,07/10/2023
Tunis,La Marsa,La Marsa,Rental,Houses,450.0,6500.0,06/10/2023
Nabeul,Hammamet,Hammamet,Rental,3-room apartment,100.0,800.0,16/10/2023
Sfax,Sfax Ville,Sfax Ville,Land,Vacant land,830.0,250000.0,04/12/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Office,1170.0,28275.0,20/09/2022
Ariana,La Soukra,La Soukra,Sale,Houses,300.0,415000.0,10/10/2023
Zaghouan,Zaghouan,Zaghouan,Land,Agricultural land,30000.0,120000.0,02/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,631.0,980000.0,06/08/2023
Ariana,Raoued,Raoued,Land,Vacant land,300.0,90000.0,29/07/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,204.0,890000.0,01/12/2023
Tunis,Bab Bhar,Bab Bhar,Rental,4-room apartment,130.0,700.0,12/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,1016.0,820000.0,27/02/2023
Sfax,Sfax Ville,Sfax Ville,Land,Vacant land,7200.0,260000.0,10/07/2021
Tunis,Sidi El Bechir,Sidi El Bechir,Sale,Houses,193.0,220000.0,17/10/2022
Tunis,La Medina,La Medina,Sale,Houses,114.0,650000.0,22/07/2023
Tunis,Carthage,Carthage,Sale,Duplex,105.0,480000.0,26/10/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,1.0,1400.0,17/11/2023
Tunis,La Marsa,La Marsa,Rental,Duplex,150.0,3500.0,07/11/2023
Nabeul,Nabeul,Nabeul,Land,Vacant land,5000.0,1500000.0,11/10/2023
Tunis,El Menzah,El Menzah,Rental,Duplex,200.0,1700.0,22/09/2023
Zaghouan,Hammam Zriba,Hammam Zriba,Land,Vacant land,3000.0,165000.0,02/12/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,500.0,600000.0,04/12/2023
Nabeul,Kelibia,Kelibia,Sale,1-room apartment,100.0,220000.0,18/03/2023
Ariana,La Soukra,La Soukra,Rental,Houses,1.0,1000.0,26/10/2023
Sousse,Hammam Sousse,Hammam Sousse,Land,Vacant land,158.0,250000.0,16/03/2022
Mahdia,Mahdia,Mahdia,Sale,2-room apartment,85.0,248000.0,13/11/2023
Nabeul,Dar Chaabane Elfehri,Dar Chaabane Elfehri,Rental,3-room apartment,100.0,400.0,18/09/2023
Ariana,Ariana Ville,Ariana Ville,Offices & Shops,Office,25.0,800.0,25/06/2023
Tunis,La Marsa,La Marsa,Rental,Houses,750.0,8500.0,08/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,370.0,1250000.0,21/11/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,120.0,2100.0,17/10/2023
Tunis,La Marsa,La Marsa,Sale,1-room apartment,73.0,190000.0,05/12/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,565.0,4500.0,29/11/2023
Tunis,El Menzah,El Menzah,Rental,Houses,750.0,6500.0,20/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,420.0,1500000.0,24/10/2023
Ariana,Mnihla,Mnihla,Sale,2-room apartment,140.0,240000.0,23/10/2023
Tunis,El Menzah,El Menzah,Rental,Other,580.0,2500.0,02/02/2023
Nabeul,Soliman,Soliman,Sale,Houses,426.0,390000.0,30/08/2023
Tunis,El Menzah,El Menzah,Rental,2-room apartment,55.0,850.0,15/11/2023
Ben arous,Rades,Rades,Land,Vacant land,200.0,99999.0,13/07/2023
Manouba,Mannouba,Mannouba,Rental,3-room apartment,130.0,800.0,19/11/2023
Tunis,El Omrane Superieur,El Omrane Superieur,Rental,Houses,80.0,400.0,30/11/2023
Mahdia,Mahdia,Mahdia,Sale,Houses,125.0,380000.0,13/11/2023
Ariana,La Soukra,La Soukra,Rental,2-room apartment,40.0,620.0,03/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,240.0,840000.0,10/10/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,1200.0,1080000.0,02/09/2023
Tunis,Le Bardo,Le Bardo,Rental,1-room apartment,40.0,400.0,06/10/2023
Ben arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Land,Vacant land,1000.0,480000.0,16/08/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,107.0,359991.0,09/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,400.0,1600000.0,02/10/2023
Tunis,El Menzah,El Menzah,Sale,5-room apartment and more,135.0,330000.0,15/11/2023
Tunis,El Menzah,El Menzah,Rental,Houses,150.0,1600.0,22/10/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,396.0,594000.0,20/11/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,1.0,10000.0,24/12/2022
Ben arous,Mornag,Mornag,Land,Vacant land,1451.0,130000.0,12/11/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,36000.0,1800000.0,15/02/2023
Nabeul,Hammamet,Hammamet,Vacation rental,Houses,400.0,660.0,06/05/2023
Monastir,Zeramdine,Zeramdine,Land,Agricultural land,10000.0,30000.0,05/11/2023
Ariana,Ariana Ville,Ariana Ville,Rental,3-room apartment,120.0,700.0,26/10/2023
Ben arous,Rades,Rades,Sale,3-room apartment,80.0,135000.0,04/10/2023
Ariana,Ariana Ville,Ariana Ville,Sale,3-room apartment,86.0,187000.0,31/10/2023
Sousse,Akouda,Akouda,Rental,Houses,80.0,350.0,06/10/2023
Nabeul,Soliman,Soliman,Land,Agricultural land,30000.0,1200000.0,10/08/2023
Nabeul,Kelibia,Kelibia,Land,Vacant land,359.0,180000.0,04/10/2022
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,1100000.0,05/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Offices & Shops,Office,80.0,1200.0,25/08/2023
Sousse,Sousse Ville,Sousse Ville,Sale,Houses,1100.0,900000.0,25/02/2022
Nabeul,Soliman,Soliman,Land,Agricultural land,17200.0,700000.0,15/08/2023
Bizerte,Ras Jebel,Ras Jebel,Land,Vacant land,8700.0,3915000.0,18/09/2023
Zaghouan,Zaghouan,Zaghouan,Sale,Other,2200000.0,81000.0,24/10/2023
Nabeul,Hammamet,Hammamet,Rental,3-room apartment,150.0,2000.0,06/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,Other,30.0,55000.0,21/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,1.0,1300.0,25/07/2023
Manouba,Mannouba,Mannouba,Land,Vacant land,300.0,300000.0,30/03/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,65.0,1800.0,09/10/2023
Nabeul,Kelibia,Kelibia,Sale,Surfaces,900.0,120000.0,22/10/2023
Tunis,La Marsa,La Marsa,Sale,Houses,300.0,610000.0,12/09/2023
Sfax,Sfax Ville,Sfax Ville,Sale,3-room apartment,120.0,200000.0,14/10/2023
Mahdia,Mahdia,Mahdia,Sale,2-room apartment,103.0,349000.0,11/11/2023
Ariana,La Soukra,La Soukra,Rental,Duplex,1.0,2000.0,12/09/2023
Ben arous,El Mourouj,El Mourouj,Sale,Duplex,150.0,320000.0,11/11/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,180.0,3500.0,10/07/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,735.0,551250.0,16/10/2023
Ben arous,Ben Arous,Ben Arous,Sale,3-room apartment,80.0,87000.0,17/10/2023
Manouba,Mornaguia,Mornaguia,Land,Vacant land,12650.0,1518000.0,16/06/2023
Nabeul,El Haouaria,El Haouaria,Sale,Houses,110.0,98000.0,18/08/2023
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Sale,Surfaces,230.0,73000.0,21/10/2023
Tunis,El Menzah,El Menzah,Sale,Houses,520.0,1550000.0,22/02/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,700.0,3900000.0,19/09/2023
Ben arous,Fouchana,Fouchana,Sale,Houses,100.0,180000.0,01/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,400.0,950000.0,01/11/2023
Sfax,Sfax Ville,Sfax Ville,Sale,3-room apartment,160.0,245000.0,28/11/2023
Nabeul,Beni Khiar,Beni Khiar,Rental,3-room apartment,140.0,680.0,19/10/2023
Tunis,Ettahrir,Ettahrir,Rental,2-room apartment,100.0,600.0,14/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,264.0,720000.0,18/11/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,590.0,501000.0,07/11/2023
Nabeul,Hammamet,Hammamet,Rental,2-room apartment,125.0,650.0,21/09/2023
Manouba,Mannouba,Mannouba,Rental,Surfaces,20.0,300.0,30/09/2023
Sousse,Kalaa Essghira,Kalaa Essghira,Land,Agricultural land,7400.0,296000.0,09/11/2023
Nabeul,El Haouaria,El Haouaria,Land,Agricultural land,19400.0,10000.0,28/10/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,400.0,550000.0,14/07/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,200.0,1200.0,26/07/2021
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,3-room apartment,124.0,275000.0,06/12/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Office,3334.0,381.0,15/03/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,145.0,1200.0,18/06/2023
Ariana,Raoued,Raoued,Land,Vacant land,5000.0,4500000.0,18/01/2022
Ben arous,Ezzahra,Ezzahra,Sale,Houses,246.0,425000.0,03/12/2023
Ariana,La Soukra,La Soukra,Rental,1-room apartment,50.0,1100.0,28/09/2023
Ben arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Vacation rental,2-room apartment,110.0,2000.0,15/03/2021
Ariana,La Soukra,La Soukra,Land,Vacant land,929.0,1020000.0,24/07/2023
Sousse,Akouda,Akouda,Land,Agricultural land,4700.0,940000.0,16/11/2023
Ariana,Raoued,Raoued,Sale,2-room apartment,110.0,130000.0,17/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,1000.0,140000.0,08/02/2023
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Sale,2-room apartment,95.0,185000.0,01/09/2023
Ben arous,Rades,Rades,Sale,Other,700.0,1000000.0,13/11/2023
Nabeul,Hammamet,Hammamet,Rental,2-room apartment,80.0,1000.0,26/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,666.0,1250000.0,02/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,700.0,3900000.0,03/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,500.0,625000.0,02/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,Duplex,1.0,2500.0,27/07/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,75.0,850.0,20/10/2023
Nabeul,Beni Khiar,Beni Khiar,Sale,Houses,204.0,270000.0,27/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,1000.0,1600000.0,05/10/2023
Ariana,Raoued,Raoued,Land,Vacant land,5000.0,80000.0,05/09/2022
Tunis,El Menzah,El Menzah,Sale,Houses,1000.0,1500000.0,17/09/2023
Nabeul,Kelibia,Kelibia,Sale,Surfaces,250.0,50000.0,20/10/2023
Sousse,Sousse Riadh,Sousse Riadh,Sale,Houses,800.0,550000.0,15/07/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,1005.0,1200000.0,12/10/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,455.0,546000.0,27/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,3-room apartment,267.0,1250000.0,28/02/2023
Manouba,Mannouba,Mannouba,Land,Vacant land,1200.0,1200000.0,03/03/2023
Tunis,La Medina,La Medina,Rental,3-room apartment,60.0,1000.0,17/06/2023
Tunis,El Menzah,El Menzah,Rental,Houses,500.0,4000.0,15/03/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,4-room apartment,155.0,2200.0,04/12/2023
Tunis,Bab Bhar,Bab Bhar,Rental,1-room apartment,15.0,400.0,01/10/2023
Nabeul,Kelibia,Kelibia,Land,Vacant land,1000.0,120000.0,08/10/2022
Tunis,El Menzah,El Menzah,Sale,5-room apartment and more,500.0,1800000.0,19/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,2-room apartment,70.0,700.0,17/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,1000.0,1600000.0,31/10/2023
Nabeul,Menzel Temime,Menzel Temime,Sale,Houses,334.0,1380000.0,05/05/2023
Tunis,El Menzah,El Menzah,Rental,Houses,300.0,2000.0,27/09/2023
Nabeul,Kelibia,Kelibia,Sale,1-room apartment,90.0,100000.0,06/03/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,2117.0,2500000.0,06/11/2023
Ariana,Sidi Thabet,Sidi Thabet,Land,Agricultural land,13000.0,1500000.0,26/10/2023
Bizerte,Bizerte Nord,Bizerte Nord,Sale,Surfaces,700.0,84000.0,13/10/2023
Nabeul,Kelibia,Kelibia,Land,Vacant land,308.0,86000.0,17/10/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,6321.0,5372850.0,19/09/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,800.0,480000.0,13/10/2023
Tunis,Bab Bhar,Bab Bhar,Rental,1-room apartment,60.0,650.0,06/10/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Other,306.0,2600000.0,19/09/2023
Ariana,Raoued,Raoued,Land,Vacant land,240.0,60000.0,25/09/2023
Nabeul,El Haouaria,El Haouaria,Sale,Houses,200.0,10000.0,14/08/2023
Sousse,Hammam Sousse,Hammam Sousse,Land,Vacant land,518.0,269360.0,26/09/2022
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,60.0,1500.0,04/11/2023
Medenine,Medenine Nord,Medenine Nord,Land,Vacant land,800.0,40000.0,27/10/2023
Tunis,La Marsa,La Marsa,Sale,Houses,200.0,720000.0,22/05/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,220.0,870000.0,11/09/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,120.0,300000.0,13/09/2023
Ariana,La Soukra,La Soukra,Sale,Other,404.0,690000.0,23/09/2023
Ariana,Mnihla,Mnihla,Rental,2-room apartment,75.0,900.0,12/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Offices & Shops,Business property,45.0,35000.0,05/07/2023
Nabeul,Hammamet,Hammamet,Rental,4-room apartment,130.0,1250.0,09/06/2023
Monastir,Sahline,Sahline,Rental,Surfaces,4100.0,533.0,04/10/2023
Ben arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Land,Vacant land,1200.0,420000.0,22/08/2023
Nabeul,Hammamet,Hammamet,Rental,3-room apartment,1000.0,1400.0,04/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,1.0,2200.0,01/06/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,280.0,880000.0,26/09/2023
Tunis,La Marsa,La Marsa,Sale,Duplex,328.0,680000.0,02/12/2023
Sfax,Esskhira,Esskhira,Rental,Surfaces,610000.0,2000.0,28/05/2022
Ben arous,Ben Arous,Ben Arous,Rental,Surfaces,1200.0,7500.0,25/08/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,300.0,96000.0,04/08/2023
Tunis,La Marsa,La Marsa,Sale,3-room apartment,115.0,220000.0,02/11/2023
Ariana,Ariana Ville,Ariana Ville,Offices & Shops,Office,100.0,365.0,18/10/2023
Nabeul,Kelibia,Kelibia,Sale,2-room apartment,105.0,372000.0,10/03/2023
Sousse,Sousse Jaouhara,Sousse Jaouhara,Rental,3-room apartment,100.0,800.0,19/10/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,710.0,1900000.0,01/04/2021
Nabeul,Bou Argoub,Bou Argoub,Land,Agricultural land,1000.0,80000.0,24/10/2023
Tunis,La Marsa,La Marsa,Rental,Surfaces,210.0,4500.0,13/09/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,120.0,300000.0,20/10/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,160.0,1800.0,04/12/2023
